user,rating,comment,ID,Sentiment,compound,sentiment,Neutral,Positive,Negative
TyrTiuLiu,10,Excellent cooperative game.,30549,,0.5719,positive,46,46,3
BoardGameNerds,10,This is a tense cooperative game.  The higher the IQ of your group the more likely that you will win.  It is a real test of risk management versus the odds.  I won thi game at the toughest level.,30549,,0.5719,positive,46,46,3
dastica1980,10,nan,30549,,0,neutral,46,46,3
casterman,10,4/2/08 - there are not very many good cooperative games that I have come across which has struck me like this one has. Well done and fun to play!,30549,,0.7167,positive,46,46,3
pregremlin,10,nan,30549,,0,neutral,46,46,3
goodaman,10,nan,30549,,0,neutral,46,46,3
DLongo,10,"I originally rated this as a 9 and had to raise it to a 10.  The game is so amazing.  It's really simple to learn (the rules are short and simple) and really easy to teach.  I have not had one game where someone said ""hey, this is a grey rules area...."" because it is all so simple and clear.  But the game is anything but easy.  Some games, we get blasted in 15 minutes while others go right down to the wire and we win or lose by a thread.  Tense, fun and highly addictive.  Since it plays in 45 mins (max), people always want to keep playing until they win.  And everyone who plays with me seems to run out and buy it.  This is one of the best games I have ever played and I have played quite a lot.  Give it a shot if you have not already done so.",30549,,0.9907,positive,46,46,3
dbmite,10,Intuitive gameplay that's elegant and tense. ,30549,,0.1779,positive,46,46,3
lsantos,10,nan,30549,,0,neutral,46,46,3
daemon_lotos,10,"After several failed attempts at this game, our group finally seem to have ""clicked""... We have even moved up beyond the beginner difficulty setting!",30549,,-0.7177,negative,46,46,3
adamly,10,nan,30549,,0,neutral,46,46,3
SwingCorey,10,I really liked this cooperative game. This and a deck of cards is what we brought with us for a month-long trip to Chile.,30549,,0.4754,positive,46,46,3
koby_shachar,10,Video (in Hebrew) - How to play: http://www.youtube.com/watch?v=nmvOHSBg3So,30549,,0.34,positive,46,46,3
frauke,10,nan,30549,,0,neutral,46,46,3
MarkEJohnson,10,nan,30549,,0,neutral,46,46,3
agaupig,10,nan,30549,,0,neutral,46,46,3
Planet69,10,nan,30549,,0,neutral,46,46,3
tinkha,10,nan,30549,,0,neutral,46,46,3
Jibrelle,10,On Order,30549,,0,neutral,46,46,3
cvlw,10,nan,30549,,0,neutral,46,46,3
Skythian,10,nan,30549,,0,neutral,46,46,3
Helenoftroy,10,Wonderful co-op game fighting plagues. ,30549,,0.296,positive,46,46,3
Ravensson,10,nan,30549,,0,neutral,46,46,3
ronster0,10,"8.4.2009 I love co-op games. This one is a quick and fun co-op at it's best. Very accessible by all types of players. I like the way  its a team against the system. Rating after a few plays. Will revise when played more.  Played about 12 times now and my rating has not lowered. Although I do find that I don't want to play time after time, I do still find that I enjoy it each time. Finally beat it on hard level with two players. It was very satisfying.  OK, this has his a 10 for me. Every game has been enjoyable and its playability for me is fantastic.   2.20.14 Taught this to more new people. I don't think this game will ever be pushed off the 10 spot for me. Your Mileage May Vary.",30549,,0.9874,positive,46,46,3
scottwildcatman,10,"Amazing game!  My wife and I love to play it, even though we lose a lot to the diseases.",30549,,0.8398,positive,46,46,3
hane0,10,nan,30549,,0,neutral,46,46,3
klanpaul,10,nan,30549,,0,neutral,46,46,3
pulla,10,Second best coop around. After Space Alert. Still one of the best games I've played. Huge variability.,30549,,0.936,positive,46,46,3
RodneyThompson,10,nan,30549,,0,neutral,46,46,3
Favre4MVP,10,"Initial rating after 2 plays (8.75). This is a really great game. I love the theme and the gameplay really matches the theme well. It's nice to have a fairly deep cooperative game that plays in 30-45 minutes. It is actually just as fun to lose as it is to win.  UPDATE: After 8 games I'm just about ready to give this a 10 and move it high up on my top 10 list, but I'm going to wait until I play a couple more time. Excellent game.   UPDATE: OK, after a few more plays I'm giving this a 10 and putting it in my top 10. I expected to like the game because the theme and gameplay sounded interesting, but Pandemic has far exceeded my expectations. ",30549,,0.9907,positive,46,46,3
davedanger,10,"Great system. The more you play the faster you get. Ok. Caveat...I use first edition and the expansion roles and roles from BBG. (18 total I believe). And you pick roles. No, I will not play with a random role. No lab. No virulent strain. These lengthen the game and add bookkeeping and no valaue. Sorry.",30549,,-0.0883,negative,46,46,3
mikka,10,nan,30549,,0,neutral,46,46,3
bousi,10,"Excellent cooperative game, solitaire is also good as well",30549,,0.8271,positive,46,46,3
borny,10,nan,30549,,0,neutral,46,46,3
arneson,10,Excellent cooperative game with a perfect theme. Very tense and dramatic.,30549,,0.6915,positive,46,46,3
teambanzai,10,nan,822,,0,neutral,60,39,1
dumarest,10,nan,822,,0,neutral,60,39,1
SanguineGrrl,10,This is my favorite game. It's a much better game with 3 or more.,822,,0.7096,positive,60,39,1
sargeofny,10,nan,822,,0,neutral,60,39,1
MagicWiesner,10,nan,822,,0,neutral,60,39,1
Ed_the_Red,10,Superb.,822,,0.6249,positive,60,39,1
Paul Slavich,10,nan,822,,0,neutral,60,39,1
starman,10,What more need to be said. It's Carcassonne. It!s fab,822,,0.5093,positive,60,39,1
krcubedex,10,"Great game! High replay value, and unique scoring. I really don't think the farmers have such a huge advantage like some people say. Very simple to learn. Nice looking tiles.",822,,0.937,positive,60,39,1
Manuel Siebert,10,nan,822,,0,neutral,60,39,1
Elvite,10,nan,822,,0,neutral,60,39,1
dgmyers,10,"Only played so far with two. And it is a great game for two--elegant, leisurely without dragging, involving just the right combination of strategy and luck. We sort the tiles into several piles, mixing the river tiles in with the rest, and then let them work their way to the top. Adds another difficult decision to the game.",822,,0.8316,positive,60,39,1
macrovipera,10,nan,822,,0,neutral,60,39,1
karlstroff,10,nan,822,,0,neutral,60,39,1
FrankWIrsch,10,My kids love this game.  Be sure to use the expansion and 3 points per farm!,822,,0.7777,positive,60,39,1
MBradford1968,10,nan,822,,0,neutral,60,39,1
shropshireblue,10,nan,822,,0,neutral,60,39,1
laurana,10,nan,822,,0,neutral,60,39,1
vitas,10,A tile laying game with engaging mechanics and an eye-catching pattern at the end of the game.,822,,0.34,positive,60,39,1
Anaconda,10,One of the games that lit up my interest for boardgames again. Very playable and it's popular amongst the non-gamers too.,822,,0.7003,positive,60,39,1
sarahluna,10,nan,822,,0,neutral,60,39,1
maffo,10,nan,822,,0,neutral,60,39,1
Mik_,10,"Unusually rare game, which is equally liked by gamers and non-gamers. Still a favorite after regular play over several years.",822,,0.802,positive,60,39,1
chameleon,10,nan,822,,0,neutral,60,39,1
Windsurf,10,Main goal is to beat Scott D. but in my efforsts to foil him his wife Mary usually ends up winning.,822,,0.6808,positive,60,39,1
jackalintern,10,"Strategy, fun, beautiful components!  Just enough randomness to keep it interesting.",822,,0.8805,positive,60,39,1
mdikwb,10, ,822,,0,neutral,60,39,1
Narayannis,10,"An excellent game, betrayed by the endless (and sometimes meaningless) expansions",822,,-0.0772,negative,60,39,1
Sushionrye,10,Incredibly playable.  It doesn't take long to play and is very addictive.  ,822,,0.34,positive,60,39,1
kgnunn,10,Clever!  Agonizing decisions!  Great stuff!,822,,0.6458,positive,60,39,1
GeoffB,10,nan,822,,0,neutral,60,39,1
Sabine,10,nan,822,,0,neutral,60,39,1
Martina,10,nan,822,,0,neutral,60,39,1
turtle,10,Currently my favorite and most played game. Highly recommended for family and friends get togethers and light strategy gamer games. See review on Funagain Games Website.,822,,0.8716,positive,60,39,1
ukgamer,10,nan,822,,0,neutral,60,39,1
tempus67,10,"Easiest game to teach to others, this and settlers of cataan are the two I use to interest newcomers in boardgaming.",822,,0.7003,positive,60,39,1
xzelan,10,nan,822,,0,neutral,60,39,1
che_fox,10,"Simply the best game for non-gamers.  Beautiful, quick, and deep.  ",822,,0.8442,positive,60,39,1
paevett,10,Great fun. Solid turn angst. Must be played quickly due to luck factor.,822,,0.9246,positive,60,39,1
redikilowatt@msn.com,10,nan,822,,0,neutral,60,39,1
robbirob,10,nan,822,,0,neutral,60,39,1
chiwaw,10,"Great classic for two players, never tried with more peoples tho ...",822,,0.6249,positive,60,39,1
CDegeyter,10,Great game that my wife and childen enjoy and we can all play as a family.,822,,0.8658,positive,60,39,1
SethCohn,10,nan,822,,0,neutral,60,39,1
Drexoll Games,10,Simply fantastic game. Inexpensive and easy to explain to new gamers.,822,,0.7579,positive,60,39,1
viperxo,10,nan,822,,0,neutral,60,39,1
Winter_Elf,10,"Fantastic game for children. Relaxing game, like Cribbage. Decent mix of skill and luck. No kingmaker problems like in many recent games.",822,,0.872,positive,60,39,1
Chris_Roberts,10,nan,822,,0,neutral,60,39,1
DehliWeb,10,Great family play. #1 in our home.,822,,0.7579,positive,60,39,1
jmcmilla,10,Works great as a 2-player game.  One of the few my wife will play with me.  Really hits a sweet spot for me in terms of packing lots of fun and suspense into a short game.,822,,0.9198,positive,60,39,1
Wald,10,The defining minimal German-style game for me.,822,,0,neutral,60,39,1
Mad Clone,10,A great game!,822,,0.6588,positive,60,39,1
playgroundforthemind,10,"Is a wonderful two-player game, and I&#039;m always up for playing it. I get kind of possessive of this game though. Whenever freinds want to borrow my games, I always reserve this one as off-limits becuase I&#039;m just so afraid they will lose one of the tile peices or loose on of my precious follower peices!",822,,0.5572,positive,60,39,1
sophist42,10,nan,822,,0,neutral,60,39,1
jmay,10,nan,822,,0,neutral,60,39,1
Basia_W,10,nan,822,,0,neutral,60,39,1
Greblord,10,Brilliant.,822,,0.5859,positive,60,39,1
ButchieToetracks,10,nan,822,,0,neutral,60,39,1
Christine Biancheria,10,nan,822,,0,neutral,60,39,1
rspader,10,nan,822,,0,neutral,60,39,1
Benjamin,10,nan,822,,0,neutral,60,39,1
red logic,10,nan,822,,0,neutral,60,39,1
JimsThirdID,10,nan,822,,0,neutral,60,39,1
doctortuxedo,10,"wonderful game, so simple, yet so intriguing.  wish there weren't so many ""official"" variants in scoring, but hey, that's how it goes!",822,,0.562,positive,60,39,1
El_Grande,10,nan,822,,0,neutral,60,39,1
greygrey,10,nan,822,,0,neutral,60,39,1
croyalporter,10,nan,822,,0,neutral,60,39,1
mbg150,10,best game ever,822,,0.6369,positive,60,39,1
JoshKG,10,"One of the best ever.  Easy rules, endless replayability, and you can get anyone to play with you.",822,,0.8591,positive,60,39,1
feliciarenee,10,i love the original!!!  it is simple yet elegant and a really great game,822,,0.942,positive,60,39,1
AS-Leo,10,nan,822,,0,neutral,60,39,1
sassfactor4,10,nan,822,,0,neutral,60,39,1
hopkihc,10,nan,822,,0,neutral,60,39,1
darktwonky,10,nan,822,,0,neutral,60,39,1
King Carp,10,Great game for serious players and for non-gamers.,822,,0.5859,positive,60,39,1
downen,10,nan,822,,0,neutral,60,39,1
gandalflb,10,nan,822,,0,neutral,60,39,1
Seany Mike,10,"This is the game that got me hooked on board gaming again.  Now that I own the somewhat more complex Hunters and Gatherers and Castle, this one doesn't come off the shelf as often as it did.  Still a great game, however.",822,,0.6249,positive,60,39,1
dasfrpsl,10,nan,822,,0,neutral,60,39,1
halfdane,10,nan,822,,0,neutral,60,39,1
zremagem,10,nan,822,,0,neutral,60,39,1
TiggerNibroc,10,"One of the first german-style games that I learned, and it remains on my top-10 list of all time.",822,,0,neutral,60,39,1
GVogel,10,"A must-have for many gamers. Won't appeal to everyone, but what game does? Give it a try, at least!",822,,0,neutral,60,39,1
wingedpotato,10,I can't get enough of this game.,822,,0,neutral,60,39,1
Znaap,10,The one and only. The game that brought me back too boardgames.,822,,0,neutral,60,39,1
mdmaguire,10,I love this game!,822,,0.6696,positive,60,39,1
JamillDoghair,10,nan,822,,0,neutral,60,39,1
undertow,10,"Everyone seems to love this one. young and old (tested: 7-49 years), male and female. It's addictive.",822,,0.6369,positive,60,39,1
atrocity,10,nan,822,,0,neutral,60,39,1
UTSquishy,10,nan,822,,0,neutral,60,39,1
tonino,10,nan,822,,0,neutral,60,39,1
rtrowan,10,"This is a truly great game, IMHO, and the number of expansions make it even better.",822,,0.8807,positive,60,39,1
tadpost,10,"This is my first playing German game. Great game that has luck and strategy in good ballance despite simple mechanism,I think. Also just fun to see builded beautiful town. This works very well with 2-players. ",822,,0.9657,positive,60,39,1
Minok,10,"Exellent game - similar to Settlers of Catan, but  different in approach.  Can be played from very simple for beginners and non-game players to complex with the expansions.",822,,0.4767,positive,60,39,1
Alphax,10,"Simple to learn, quick to play, lots of strategy to think about, and randomness to make each game different and fun.",822,,0.6908,positive,60,39,1
ladylizard13,10,nan,822,,0,neutral,60,39,1
p-ter,10,nan,822,,0,neutral,60,39,1
fhsIV,10,"Light, fast tile laying game suitable for any crowd.  A nice introduction to german style games for ayone you want to draw in.",822,,0.4767,positive,60,39,1
telbert,10,nan,822,,0,neutral,60,39,1
fipa,10,We have all the extensions and it's our all time favourite game.  Everyone we introduce to it becomes addicted.,822,,0,neutral,60,39,1
sidehacker,10,nan,13,,0,neutral,61,38,1
Varthlokkur,10,nan,13,,0,neutral,61,38,1
dougthonus,10,"Currently, this sits on my list as my favorite game.",13,,0.4588,positive,61,38,1
cypar7,10,"I know it says how many plays, but many, many were uncounted. I liked this version the best. ",13,,0.9001,positive,61,38,1
ssmooth,10,nan,13,,0,neutral,61,38,1
Halloran,10,nan,13,,0,neutral,61,38,1
isamu,10,nan,13,,0,neutral,61,38,1
hreimer,10,i will never tire of this game.. Awesome,13,,0.6249,positive,61,38,1
ericgorr,10,nan,13,,0,neutral,61,38,1
butch,10,nan,13,,0,neutral,61,38,1
ksgo,10,nan,13,,0,neutral,61,38,1
daredevil,10,This is probably the best game I ever played.  Requires more than just thinking; develops negotiation skills,13,,0.765,positive,61,38,1
bigodes,10,nan,13,,0,neutral,61,38,1
Elyah,10,nan,13,,0,neutral,61,38,1
Krunk2k,10,nan,13,,0,neutral,61,38,1
Rexyboy,10,nan,13,,0,neutral,61,38,1
hurkle,10,Fantastic game. Got me hooked on games all over again.,13,,0.5574,positive,61,38,1
Thesp,10,"One of the best games ever created. Period. New board setups allow practically infinite replayability. Expansions are worth having, too.",13,,0.8402,positive,61,38,1
philfry,10,nan,13,,0,neutral,61,38,1
bnpihl,10,Game itself is 9. Only strategy game my family asks me to play. Never gets old.,13,,0.34,positive,61,38,1
Zagatto,10,This is a great game.  I've even got a number of non game players enjoying it.  Fast to learn and always changing.,13,,0.8316,positive,61,38,1
turtle,10,One of my all time favorite games. I usually only get to play with 2 players. We use the 2 player variant by Ethan Sprang found on Mayfair Games website under Variant and Scenarios Section.,13,,0.6597,positive,61,38,1
Paul Slavich,10,nan,13,,0,neutral,61,38,1
starman,10,nan,13,,0,neutral,61,38,1
marconte,10,nan,13,,0,neutral,61,38,1
PatB,10,Settlers is a gem. If you havn't played it I suggest you go get it right now. ,13,,-0.2584,negative,61,38,1
kevhoffer,10,nan,13,,0,neutral,61,38,1
davester,10,nan,13,,0,neutral,61,38,1
ScottM,10,"Everyone I've shown this to, gamer and non-gamer alike, get hooked.",13,,0,neutral,61,38,1
grisenthwaite,10,nan,13,,0,neutral,61,38,1
Capn_Future,10,"Played this game more than any other, a new classic that will not gather dust.",13,,0.34,positive,61,38,1
LordChrone,10,nan,13,,0,neutral,61,38,1
ericleesmith,10,"One of the best games ever, and one that gets more interesting the more you play it. It deserves its reputation.",13,,0.8712,positive,61,38,1
fledermaus,10,nan,13,,0,neutral,61,38,1
pbowen,10,"Everyone that I've introduced this game to has liked it: friends, family (even my grandparents), everyone.",13,,0.7096,positive,61,38,1
cfarrell,10,"The history of Catan tie-in products has been a little uneven over the years, but a number of them are great; itâ€™s a little funny, but the line really started hitting its stride in the 2010s - about the time most hugely successful product lines would be hitting the point of â€œwell, I guess I need a new boatâ€. I particularly recommend:  Catan Starfarers Rise of the Inkas Game of Thrones Ancient Egypt Explorers & Pirates Seafarers (especially when playing with 3) Fall of Rome Helpers Oil Springs (a novelty, but cheap and super-interesting)  Cities and Knights is a niche flavor for sure, but I find it quite fun. It works well in combination with Seafarers, especially since Seafarers really improves the 3-player game and Cities & Knights is best with 3 or 4. â€”- THE classic game of the 90's. Belongs in every game collection. I still play this fairly often - just the basic game alone has surely cracked 100 plays, and throw in all the variants and expansions and this is an incredible system. --- Version Notes: Overall, I think the 2005-ish re-issue of Die Siedler von Catan from Kosmos - featuering plastic pieces - is the most attractive, funcational version of the game. It has bright, pleasing graphics, the smaller resource cards are easy to manage, and the plastic inserts are the most functional inserts ever for a game. It is in German, though. But every version has its charms, even going back to the borderline-ugly Mayfair 1st and 2nd printings (the ones that used photos - I don't actually own either of those printings, but I'd like to just to add to my collection). The 2007 Mayfair edition (the bigger box) is probably the nicest version that Mayfair has done, and is comparable and even superior in some ways to the 2005 Kosmos edition, the first time Mayfair has gone their own way  and done something at least as good as Kosmos. It also has the advantage of being in English. I generally like Mayfair's 3rd printing better than most players - I think it's a nice, distinct set with its own flavor apart from the other versions - but I'd also agree that it's overall not as graphically effective as the other versions, being a little dark.",13,,0.9985,positive,61,38,1
khaighle,10,"6 players only with the expansion set, of course, which I suppose I could use...",13,,0,neutral,61,38,1
bobcousy,10,My all time favourite when the boys are around.,13,,0,neutral,61,38,1
sarahluna,10,nan,13,,0,neutral,61,38,1
andy hart,10,"So, it's a ten then. I hate to have to go with the crowd, but after several years playing, it's still one of the first games to come out during a session. Yes, there's a certain ammount of luck (I once won a game becuase the dice simply WOULD NOT stop coming up 4's. Guess who had 4) but it's usually up to the individual players as to what use they make out of their resources. An real winner. ",13,,0.9739,positive,61,38,1
roberto,10,nan,13,,0,neutral,61,38,1
magnushoglund,10,nan,13,,0,neutral,61,38,1
sheepdog,10,nan,13,,0,neutral,61,38,1
Narayannis,10,nan,13,,0,neutral,61,38,1
Helmut,10,nan,13,,0,neutral,61,38,1
Scae,10,Best all-round game!,13,,0.6696,positive,61,38,1
nadle,10,The best game invented in the last decade. With the changeable tileset and the trading system you don't get hardly boring. Also the subject reponds of one's desire: everyone wants to seek their fortune in the unexplored world. We've played once with ten players with two games and a 5&6 player expansion. Great fun.,13,,0.9548,positive,61,38,1
oobydoob,10,nan,13,,0,neutral,61,38,1
DookTibs,10,nan,13,,0,neutral,61,38,1
Blaster,10,The All time classic.  ,13,,0,neutral,61,38,1
Martina,10,nan,13,,0,neutral,61,38,1
jesuska,10,nan,13,,0,neutral,61,38,1
earnestto,10,I love this game because I can play it with my wife.,13,,0.765,positive,61,38,1
